CODE,DESCRIPTION,MUNICITY,MUNICITY_1_2_3_4
083719000,Hilongos,083719000Hilongos,083719000Hilongos
083720000,Hindang,083720000Hindang,083720000Hindang
083721000,Inopacan,083721000Inopacan,083721000Inopacan
083722000,Isabel,083722000Isabel,083722000Isabel
083723000,Jaro,083723000Jaro,083723000Jaro
083724000,Javier,083724000Javier,083724000Javier
083725000,Julita,083725000Julita,083725000Julita
083726000,Kananga,083726000Kananga,083726000Kananga
083728000,La Paz,083728000La Paz,083728000La Paz
083729000,Leyte,083729000Leyte,083729000Leyte
083730000,Macarthur,083730000Macarthur,083730000Macarthur
083731000,Mahaplag,083731000Mahaplag,083731000Mahaplag
083733000,Matag-Ob,083733000Matag-Ob,083733000Matag-Ob
083734000,Matalom,083734000Matalom,083734000Matalom
083735000,Mayorga,083735000Mayorga,083735000Mayorga
083736000,Merida,083736000Merida,083736000Merida
083738000,Ormoc City,083738000Ormoc City,083738000Ormoc City
083739000,Palo,083739000Palo,083739000Palo
083740000,Palompon,083740000Palompon,083740000Palompon
083741000,Pastrana,083741000Pastrana,083741000Pastrana
083742000,San Isidro,083742000San Isidro,083742000San Isidro
083743000,San Miguel,083743000San Miguel,083743000San Miguel
083744000,Santa Fe,083744000Santa Fe,083744000Santa Fe
083745000,Tabango,083745000Tabango,083745000Tabango
083746000,Tabontabon,083746000Tabontabon,083746000Tabontabon
083747000,City of Tacloban (Capital),083747000City of Tacloban (Capital),083747000City of Tacloban (Capital)
083748000,Tanauan,083748000Tanauan,083748000Tanauan
083749000,Tolosa,083749000Tolosa,083749000Tolosa
083750000,Tunga,083750000Tunga,083750000Tunga
083751000,Villaba,083751000Villaba,083751000Villaba
084801000,Allen,084801000Allen,084801000Allen
084802000,Biri,084802000Biri,084802000Biri
084803000,Bobon,084803000Bobon,084803000Bobon
084804000,Capul,084804000Capul,084804000Capul
084805000,Catarman (Capital),084805000Catarman (Capital),084805000Catarman (Capital)
084806000,Catubig,084806000Catubig,084806000Catubig
084807000,Gamay,084807000Gamay,084807000Gamay
084808000,Laoang,084808000Laoang,084808000Laoang
084809000,Lapinig,084809000Lapinig,084809000Lapinig
084810000,Las Navas,084810000Las Navas,084810000Las Navas
084811000,Lavezares,084811000Lavezares,084811000Lavezares
084812000,Mapanas,084812000Mapanas,084812000Mapanas
084813000,Mondragon,084813000Mondragon,084813000Mondragon
084814000,Palapag,084814000Palapag,084814000Palapag
084815000,Pambujan,084815000Pambujan,084815000Pambujan
084816000,Rosario,084816000Rosario,084816000Rosario
084817000,San Antonio,084817000San Antonio,084817000San Antonio
084818000,San Isidro,084818000San Isidro,084818000San Isidro
084819000,San Jose,084819000San Jose,084819000San Jose
084820000,San Roque,084820000San Roque,084820000San Roque
084821000,San Vicente,084821000San Vicente,084821000San Vicente
084822000,Silvino Lobos,084822000Silvino Lobos,084822000Silvino Lobos
084823000,Victoria,084823000Victoria,084823000Victoria
084824000,Lope De Vega,084824000Lope De Vega,084824000Lope De Vega
086001000,Almagro,086001000Almagro,086001000Almagro
086002000,Basey,086002000Basey,086002000Basey
086003000,City of Calbayog,086003000City of Calbayog,086003000City of Calbayog
086004000,Calbiga,086004000Calbiga,086004000Calbiga
086005000,City of Catbalogan (Capital),086005000City of Catbalogan (Capital),086005000City of Catbalogan (Capital)
086006000,Daram,086006000Daram,086006000Daram
086007000,Gandara,086007000Gandara,086007000Gandara
086008000,Hinabangan,086008000Hinabangan,086008000Hinabangan
086009000,Jiabong,086009000Jiabong,086009000Jiabong
086010000,Marabut,086010000Marabut,086010000Marabut
086011000,Matuguinao,086011000Matuguinao,086011000Matuguinao
086012000,Motiong,086012000Motiong,086012000Motiong
086013000,Pinabacdao,086013000Pinabacdao,086013000Pinabacdao
086014000,San Jose De Buan,086014000San Jose De Buan,086014000San Jose De Buan
086015000,San Sebastian,086015000San Sebastian,086015000San Sebastian
086016000,Santa Margarita,086016000Santa Margarita,086016000Santa Margarita
086017000,Santa Rita,086017000Santa Rita,086017000Santa Rita
086018000,Santo Niño,086018000Santo Niño,086018000Santo Niño
086019000,Talalora,086019000Talalora,086019000Talalora
086020000,Tarangnan,086020000Tarangnan,086020000Tarangnan
086021000,Villareal,086021000Villareal,086021000Villareal
086022000,Paranas,086022000Paranas,086022000Paranas
086023000,Zumarraga,086023000Zumarraga,086023000Zumarraga
086024000,Tagapul-An,086024000Tagapul-An,086024000Tagapul-An
086025000,San Jorge,086025000San Jorge,086025000San Jorge
086026000,Pagsanghan,086026000Pagsanghan,086026000Pagsanghan
086401000,Anahawan,086401000Anahawan,086401000Anahawan
086402000,Bontoc,086402000Bontoc,086402000Bontoc
086403000,Hinunangan,086403000Hinunangan,086403000Hinunangan
086404000,Hinundayan,086404000Hinundayan,086404000Hinundayan
086405000,Libagon,086405000Libagon,086405000Libagon
086406000,Liloan,086406000Liloan,086406000Liloan
086407000,City of Maasin (Capital),086407000City of Maasin (Capital),086407000City of Maasin (Capital)
086408000,Macrohon,086408000Macrohon,086408000Macrohon
086409000,Malitbog,086409000Malitbog,086409000Malitbog
086410000,Padre Burgos,086410000Padre Burgos,086410000Padre Burgos
086411000,Pintuyan,086411000Pintuyan,086411000Pintuyan
086412000,Saint Bernard,086412000Saint Bernard,086412000Saint Bernard
086413000,San Francisco,086413000San Francisco,086413000San Francisco
086414000,San Juan,086414000San Juan,086414000San Juan
086415000,San Ricardo,086415000San Ricardo,086415000San Ricardo
086416000,Silago,086416000Silago,086416000Silago
086417000,Sogod,086417000Sogod,086417000Sogod
086418000,Tomas Oppus,086418000Tomas Oppus,086418000Tomas Oppus
086419000,Limasawa,086419000Limasawa,086419000Limasawa
087801000,Almeria,087801000Almeria,087801000Almeria
087802000,Biliran,087802000Biliran,087802000Biliran
087803000,Cabucgayan,087803000Cabucgayan,087803000Cabucgayan
087804000,Caibiran,087804000Caibiran,087804000Caibiran
087805000,Culaba,087805000Culaba,087805000Culaba
087806000,Kawayan,087806000Kawayan,087806000Kawayan
087807000,Maripipi,087807000Maripipi,087807000Maripipi
087808000,Naval (Capital),087808000Naval (Capital),087808000Naval (Capital)
097201000,City of Dapitan,097201000City of Dapitan,097201000City of Dapitan
097202000,City of Dipolog (Capital),097202000City of Dipolog (Capital),097202000City of Dipolog (Capital)
097203000,Katipunan,097203000Katipunan,097203000Katipunan
097204000,La Libertad,097204000La Libertad,097204000La Libertad
097205000,Labason,097205000Labason,097205000Labason
097206000,Liloy,097206000Liloy,097206000Liloy
097207000,Manukan,097207000Manukan,097207000Manukan
097208000,Mutia,097208000Mutia,097208000Mutia
097209000,Piñan,097209000Piñan,097209000Piñan
097210000,Polanco,097210000Polanco,097210000Polanco
097211000,Pres. Manuel A. Roxas,097211000Pres. Manuel A. Roxas,097211000Pres. Manuel A. Roxas
097212000,Rizal,097212000Rizal,097212000Rizal
097213000,Salug,097213000Salug,097213000Salug
097214000,Sergio Osmeña Sr.,097214000Sergio Osmeña Sr.,097214000Sergio Osmeña Sr.
097215000,Siayan,097215000Siayan,097215000Siayan
097216000,Sibuco,097216000Sibuco,097216000Sibuco
097217000,Sibutad,097217000Sibutad,097217000Sibutad
097218000,Sindangan,097218000Sindangan,097218000Sindangan
097219000,Siocon,097219000Siocon,097219000Siocon
097220000,Sirawai,097220000Sirawai,097220000Sirawai
097221000,Tampilisan,097221000Tampilisan,097221000Tampilisan
097222000,Jose Dalman,097222000Jose Dalman,097222000Jose Dalman
097223000,Gutalac,097223000Gutalac,097223000Gutalac
097224000,Baliguian,097224000Baliguian,097224000Baliguian
097225000,Godod,097225000Godod,097225000Godod
097226000,Bacungan,097226000Bacungan,097226000Bacungan
097227000,Kalawit,097227000Kalawit,097227000Kalawit
097302000,Aurora,097302000Aurora,097302000Aurora
097303000,Bayog,097303000Bayog,097303000Bayog
097305000,Dimataling,097305000Dimataling,097305000Dimataling
097306000,Dinas,097306000Dinas,097306000Dinas
097307000,Dumalinao,097307000Dumalinao,097307000Dumalinao
097308000,Dumingag,097308000Dumingag,097308000Dumingag
097311000,Kumalarang,097311000Kumalarang,097311000Kumalarang
097312000,Labangan,097312000Labangan,097312000Labangan
097313000,Lapuyan,097313000Lapuyan,097313000Lapuyan
097315000,Mahayag,097315000Mahayag,097315000Mahayag
097317000,Margosatubig,097317000Margosatubig,097317000Margosatubig
097318000,Midsalip,097318000Midsalip,097318000Midsalip
097319000,Molave,097319000Molave,097319000Molave
097322000,City of Pagadian (Capital),097322000City of Pagadian (Capital),097322000City of Pagadian (Capital)
097323000,Ramon Magsaysay,097323000Ramon Magsaysay,097323000Ramon Magsaysay
097324000,San Miguel,097324000San Miguel,097324000San Miguel
097325000,San Pablo,097325000San Pablo,097325000San Pablo
097327000,Tabina,097327000Tabina,097327000Tabina
097328000,Tambulig,097328000Tambulig,097328000Tambulig
097330000,Tukuran,097330000Tukuran,097330000Tukuran
097332000,City of Zamboanga,097332000City of Zamboanga,097332000City of Zamboanga
097333000,Lakewood,097333000Lakewood,097333000Lakewood
097337000,Josefina,097337000Josefina,097337000Josefina
097338000,Pitogo,097338000Pitogo,097338000Pitogo
097340000,Sominot,097340000Sominot,097340000Sominot
097341000,Vincenzo A. Sagun,097341000Vincenzo A. Sagun,097341000Vincenzo A. Sagun
097343000,Guipos,097343000Guipos,097343000Guipos
097344000,Tigbao,097344000Tigbao,097344000Tigbao
098301000,Alicia,098301000Alicia,098301000Alicia
098302000,Buug,098302000Buug,098302000Buug
098303000,Diplahan,098303000Diplahan,098303000Diplahan
098304000,Imelda,098304000Imelda,098304000Imelda
098305000,Ipil (Capital),098305000Ipil (Capital),098305000Ipil (Capital)
098306000,Kabasalan,098306000Kabasalan,098306000Kabasalan
098307000,Mabuhay,098307000Mabuhay,098307000Mabuhay
098308000,Malangas,098308000Malangas,098308000Malangas
098309000,Naga,098309000Naga,098309000Naga
098310000,Olutanga,098310000Olutanga,098310000Olutanga
098311000,Payao,098311000Payao,098311000Payao
098312000,Roseller Lim,098312000Roseller Lim,098312000Roseller Lim
098313000,Siay,098313000Siay,098313000Siay
098314000,Talusan,098314000Talusan,098314000Talusan
098315000,Titay,098315000Titay,098315000Titay
098316000,Tungawan,098316000Tungawan,098316000Tungawan
099701000,City of Isabela,099701000City of Isabela,099701000City of Isabela
101301000,Baungon,101301000Baungon,101301000Baungon
101302000,Damulog,101302000Damulog,101302000Damulog
101303000,Dangcagan,101303000Dangcagan,101303000Dangcagan
101304000,Don Carlos,101304000Don Carlos,101304000Don Carlos
101305000,Impasug-ong,101305000Impasug-ong,101305000Impasug-ong
101306000,Kadingilan,101306000Kadingilan,101306000Kadingilan
101307000,Kalilangan,101307000Kalilangan,101307000Kalilangan
101308000,Kibawe,101308000Kibawe,101308000Kibawe
101309000,Kitaotao,101309000Kitaotao,101309000Kitaotao
101310000,Lantapan,101310000Lantapan,101310000Lantapan
101311000,Libona,101311000Libona,101311000Libona
101312000,City of Malaybalay (Capital),101312000City of Malaybalay (Capital),101312000City of Malaybalay (Capital)
101313000,Malitbog,101313000Malitbog,101313000Malitbog
101314000,Manolo Fortich,101314000Manolo Fortich,101314000Manolo Fortich
101315000,Maramag,101315000Maramag,101315000Maramag
101316000,Pangantucan,101316000Pangantucan,101316000Pangantucan
101317000,Quezon,101317000Quezon,101317000Quezon
101318000,San Fernando,101318000San Fernando,101318000San Fernando
101319000,Sumilao,101319000Sumilao,101319000Sumilao
101320000,Talakag,101320000Talakag,101320000Talakag
101321000,City of Valencia,101321000City of Valencia,101321000City of Valencia
101322000,Cabanglasan,101322000Cabanglasan,101322000Cabanglasan
101801000,Catarman,101801000Catarman,101801000Catarman
101802000,Guinsiliban,101802000Guinsiliban,101802000Guinsiliban
101803000,Mahinog,101803000Mahinog,101803000Mahinog
101804000,Mambajao (Capital),101804000Mambajao (Capital),101804000Mambajao (Capital)
101805000,Sagay,101805000Sagay,101805000Sagay
103501000,Bacolod,103501000Bacolod,103501000Bacolod
103502000,Baloi,103502000Baloi,103502000Baloi
103503000,Baroy,103503000Baroy,103503000Baroy
103504000,City of Iligan,103504000City of Iligan,103504000City of Iligan
103505000,Kapatagan,103505000Kapatagan,103505000Kapatagan
103506000,Sultan Naga Dimaporo,103506000Sultan Naga Dimaporo,103506000Sultan Naga Dimaporo
103507000,Kauswagan,103507000Kauswagan,103507000Kauswagan
103508000,Kolambugan,103508000Kolambugan,103508000Kolambugan
103509000,Lala,103509000Lala,103509000Lala
103510000,Linamon,103510000Linamon,103510000Linamon
103511000,Magsaysay,103511000Magsaysay,103511000Magsaysay
103512000,Maigo,103512000Maigo,103512000Maigo
103513000,Matungao,103513000Matungao,103513000Matungao
103514000,Munai,103514000Munai,103514000Munai
103515000,Nunungan,103515000Nunungan,103515000Nunungan
103516000,Pantao Ragat,103516000Pantao Ragat,103516000Pantao Ragat
103517000,Poona Piagapo,103517000Poona Piagapo,103517000Poona Piagapo
103518000,Salvador,103518000Salvador,103518000Salvador
103519000,Sapad,103519000Sapad,103519000Sapad
103520000,Tagoloan,103520000Tagoloan,103520000Tagoloan
103521000,Tangcal,103521000Tangcal,103521000Tangcal
103522000,Tubod (Capital),103522000Tubod (Capital),103522000Tubod (Capital)
103523000,Pantar,103523000Pantar,103523000Pantar
104201000,Aloran,104201000Aloran,104201000Aloran
104202000,Baliangao,104202000Baliangao,104202000Baliangao
104203000,Bonifacio,104203000Bonifacio,104203000Bonifacio
104204000,Calamba,104204000Calamba,104204000Calamba
104205000,Clarin,104205000Clarin,104205000Clarin
104206000,Concepcion,104206000Concepcion,104206000Concepcion
104207000,Jimenez,104207000Jimenez,104207000Jimenez
104208000,Lopez Jaena,104208000Lopez Jaena,104208000Lopez Jaena
104209000,City of Oroquieta (Capital),104209000City of Oroquieta (Capital),104209000City of Oroquieta (Capital)
104210000,City of Ozamiz,104210000City of Ozamiz,104210000City of Ozamiz
104211000,Panaon,104211000Panaon,104211000Panaon
104212000,Plaridel,104212000Plaridel,104212000Plaridel
104213000,Sapang Dalaga,104213000Sapang Dalaga,104213000Sapang Dalaga
104214000,Sinacaban,104214000Sinacaban,104214000Sinacaban
104215000,City of Tangub,104215000City of Tangub,104215000City of Tangub
104216000,Tudela,104216000Tudela,104216000Tudela
104217000,Don Victoriano Chiongbian,104217000Don Victoriano Chiongbian,104217000Don Victoriano Chiongbian
104301000,Alubijid,104301000Alubijid,104301000Alubijid
104302000,Balingasag,104302000Balingasag,104302000Balingasag
104303000,Balingoan,104303000Balingoan,104303000Balingoan
104304000,Binuangan,104304000Binuangan,104304000Binuangan
104305000,City of Cagayan De Oro (Capital),104305000City of Cagayan De Oro (Capital),104305000City of Cagayan De Oro (Capital)
104306000,Claveria,104306000Claveria,104306000Claveria
104307000,City of El Salvador,104307000City of El Salvador,104307000City of El Salvador
104308000,City of Gingoog,104308000City of Gingoog,104308000City of Gingoog
104309000,Gitagum,104309000Gitagum,104309000Gitagum
104310000,Initao,104310000Initao,104310000Initao
104311000,Jasaan,104311000Jasaan,104311000Jasaan
104312000,Kinoguitan,104312000Kinoguitan,104312000Kinoguitan
104313000,Lagonglong,104313000Lagonglong,104313000Lagonglong
104314000,Laguindingan,104314000Laguindingan,104314000Laguindingan
104315000,Libertad,104315000Libertad,104315000Libertad
104316000,Lugait,104316000Lugait,104316000Lugait
104317000,Magsaysay,104317000Magsaysay,104317000Magsaysay
104318000,Manticao,104318000Manticao,104318000Manticao
104319000,Medina,104319000Medina,104319000Medina
104320000,Naawan,104320000Naawan,104320000Naawan
104321000,Opol,104321000Opol,104321000Opol
104322000,Salay,104322000Salay,104322000Salay
104323000,Sugbongcogon,104323000Sugbongcogon,104323000Sugbongcogon
104324000,Tagoloan,104324000Tagoloan,104324000Tagoloan
104325000,Talisayan,104325000Talisayan,104325000Talisayan
104326000,Villanueva,104326000Villanueva,104326000Villanueva
112301000,Asuncion,112301000Asuncion,112301000Asuncion
112303000,Carmen,112303000Carmen,112303000Carmen
112305000,Kapalong,112305000Kapalong,112305000Kapalong
112314000,New Corella,112314000New Corella,112314000New Corella
112315000,City of Panabo,112315000City of Panabo,112315000City of Panabo
112317000,Island Garden City of Samal,112317000Island Garden City of Samal,112317000Island Garden City of Samal
112318000,Santo Tomas,112318000Santo Tomas,112318000Santo Tomas
112319000,City of Tagum (Capital),112319000City of Tagum (Capital),112319000City of Tagum (Capital)
112322000,Talaingod,112322000Talaingod,112322000Talaingod
112323000,Braulio E. Dujali,112323000Braulio E. Dujali,112323000Braulio E. Dujali
112324000,San Isidro,112324000San Isidro,112324000San Isidro
112401000,Bansalan,112401000Bansalan,112401000Bansalan
112402000,City of Davao,112402000City of Davao,112402000City of Davao
112403000,City of Digos (Capital),112403000City of Digos (Capital),112403000City of Digos (Capital)
112404000,Hagonoy,112404000Hagonoy,112404000Hagonoy
112406000,Kiblawan,112406000Kiblawan,112406000Kiblawan
112407000,Magsaysay,112407000Magsaysay,112407000Magsaysay
112408000,Malalag,112408000Malalag,112408000Malalag
112410000,Matanao,112410000Matanao,112410000Matanao
112411000,Padada,112411000Padada,112411000Padada
112412000,Santa Cruz,112412000Santa Cruz,112412000Santa Cruz
112414000,Sulop,112414000Sulop,112414000Sulop
112501000,Baganga,112501000Baganga,112501000Baganga
112502000,Banaybanay,112502000Banaybanay,112502000Banaybanay
112503000,Boston,112503000Boston,112503000Boston
112504000,Caraga,112504000Caraga,112504000Caraga
112505000,Cateel,112505000Cateel,112505000Cateel
112506000,Governor Generoso,112506000Governor Generoso,112506000Governor Generoso
112507000,Lupon,112507000Lupon,112507000Lupon
112508000,Manay,112508000Manay,112508000Manay
112509000,City of Mati (Capital),112509000City of Mati (Capital),112509000City of Mati (Capital)
112510000,San Isidro,112510000San Isidro,112510000San Isidro
112511000,Tarragona,112511000Tarragona,112511000Tarragona
118201000,Compostela,118201000Compostela,118201000Compostela
118202000,Laak,118202000Laak,118202000Laak
118203000,Mabini,118203000Mabini,118203000Mabini
118204000,Maco,118204000Maco,118204000Maco
118205000,Maragusan,118205000Maragusan,118205000Maragusan
118206000,Mawab,118206000Mawab,118206000Mawab
118207000,Monkayo,118207000Monkayo,118207000Monkayo
118208000,Montevista,118208000Montevista,118208000Montevista
118209000,Nabunturan (Capital),118209000Nabunturan (Capital),118209000Nabunturan (Capital)
118210000,New Bataan,118210000New Bataan,118210000New Bataan
118211000,Pantukan,118211000Pantukan,118211000Pantukan
118601000,Don Marcelino,118601000Don Marcelino,118601000Don Marcelino
118602000,Jose Abad Santos,118602000Jose Abad Santos,118602000Jose Abad Santos
118603000,Malita (Capital),118603000Malita (Capital),118603000Malita (Capital)
118604000,Santa Maria,118604000Santa Maria,118604000Santa Maria
118605000,Sarangani,118605000Sarangani,118605000Sarangani
124701000,Alamada,124701000Alamada,124701000Alamada
124702000,Carmen,124702000Carmen,124702000Carmen
124703000,Kabacan,124703000Kabacan,124703000Kabacan
124704000,City of Kidapawan (Capital),124704000City of Kidapawan (Capital),124704000City of Kidapawan (Capital)
124705000,Libungan,124705000Libungan,124705000Libungan
124706000,Magpet,124706000Magpet,124706000Magpet
124707000,Makilala,124707000Makilala,124707000Makilala
124708000,Matalam,124708000Matalam,124708000Matalam
124709000,Midsayap,124709000Midsayap,124709000Midsayap
124710000,M'Lang,124710000M'Lang,124710000M'Lang
124711000,Pigkawayan,124711000Pigkawayan,124711000Pigkawayan
124712000,Pikit,124712000Pikit,124712000Pikit
124713000,President Roxas,124713000President Roxas,124713000President Roxas
124714000,Tulunan,124714000Tulunan,124714000Tulunan
124715000,Antipas,124715000Antipas,124715000Antipas
124716000,Banisilan,124716000Banisilan,124716000Banisilan
124717000,Aleosan,124717000Aleosan,124717000Aleosan
124718000,Arakan,124718000Arakan,124718000Arakan
126302000,Banga,126302000Banga,126302000Banga
126303000,City of General Santos,126303000City of General Santos,126303000City of General Santos
126306000,City of Koronadal (Capital),126306000City of Koronadal (Capital),126306000City of Koronadal (Capital)
126311000,Norala,126311000Norala,126311000Norala
126312000,Polomolok,126312000Polomolok,126312000Polomolok
126313000,Surallah,126313000Surallah,126313000Surallah
126314000,Tampakan,126314000Tampakan,126314000Tampakan
126315000,Tantangan,126315000Tantangan,126315000Tantangan
126316000,T'Boli,126316000T'Boli,126316000T'Boli
126317000,Tupi,126317000Tupi,126317000Tupi
126318000,Santo Niño,126318000Santo Niño,126318000Santo Niño
126319000,Lake Sebu,126319000Lake Sebu,126319000Lake Sebu
126501000,Bagumbayan,126501000Bagumbayan,126501000Bagumbayan
126502000,Columbio,126502000Columbio,126502000Columbio
126503000,Esperanza,126503000Esperanza,126503000Esperanza
126504000,Isulan (Capital),126504000Isulan (Capital),126504000Isulan (Capital)
126505000,Kalamansig,126505000Kalamansig,126505000Kalamansig
126506000,Lebak,126506000Lebak,126506000Lebak
126507000,Lutayan,126507000Lutayan,126507000Lutayan
126508000,Lambayong,126508000Lambayong,126508000Lambayong
126509000,Palimbang,126509000Palimbang,126509000Palimbang
126510000,President Quirino,126510000President Quirino,126510000President Quirino
126511000,City of Tacurong,126511000City of Tacurong,126511000City of Tacurong
126512000,Sen. Ninoy Aquino,126512000Sen. Ninoy Aquino,126512000Sen. Ninoy Aquino
128001000,Alabel (Capital),128001000Alabel (Capital),128001000Alabel (Capital)
128002000,Glan,128002000Glan,128002000Glan
128003000,Kiamba,128003000Kiamba,128003000Kiamba
128004000,Maasim,128004000Maasim,128004000Maasim
128005000,Maitum,128005000Maitum,128005000Maitum
128006000,Malapatan,128006000Malapatan,128006000Malapatan
128007000,Malungon,128007000Malungon,128007000Malungon
129804000,City of Cotabato,129804000City of Cotabato,129804000City of Cotabato
133900000,City of Manila,133900000City of Manila,133900000City of Manila
133901000,Tondo I/II,133901000Tondo I/II,133901000Tondo I/II
133902000,Binondo,133902000Binondo,133902000Binondo
133903000,Quiapo,133903000Quiapo,133903000Quiapo
133904000,San Nicolas,133904000San Nicolas,133904000San Nicolas
133905000,Santa Cruz,133905000Santa Cruz,133905000Santa Cruz
133906000,Sampaloc,133906000Sampaloc,133906000Sampaloc
133907000,San Miguel,133907000San Miguel,133907000San Miguel
133908000,Ermita,133908000Ermita,133908000Ermita
133909000,Intramuros,133909000Intramuros,133909000Intramuros
133910000,Malate,133910000Malate,133910000Malate
133911000,Paco,133911000Paco,133911000Paco
133912000,Pandacan,133912000Pandacan,133912000Pandacan
133913000,Port Area,133913000Port Area,133913000Port Area
133914000,Santa Ana,133914000Santa Ana,133914000Santa Ana
137401000,City of Mandaluyong,137401000City of Mandaluyong,137401000City of Mandaluyong
137402000,City of Marikina,137402000City of Marikina,137402000City of Marikina
137403000,City of Pasig,137403000City of Pasig,137403000City of Pasig
137404000,Quezon City,137404000Quezon City,137404000Quezon City
137405000,City of San Juan,137405000City of San Juan,137405000City of San Juan
137501000,City of Caloocan,137501000City of Caloocan,137501000City of Caloocan
137502000,City of Malabon,137502000City of Malabon,137502000City of Malabon
137503000,City of Navotas,137503000City of Navotas,137503000City of Navotas
137504000,City of Valenzuela,137504000City of Valenzuela,137504000City of Valenzuela
137601000,City of Las Piñas,137601000City of Las Piñas,137601000City of Las Piñas
137602000,City of Makati,137602000City of Makati,137602000City of Makati
137603000,City of Muntinlupa,137603000City of Muntinlupa,137603000City of Muntinlupa
137604000,City of Parañaque,137604000City of Parañaque,137604000City of Parañaque
137605000,Pasay City,137605000Pasay City,137605000Pasay City
137606000,Pateros,137606000Pateros,137606000Pateros
137607000,City of Taguig,137607000City of Taguig,137607000City of Taguig
140101000,Bangued (Capital),140101000Bangued (Capital),140101000Bangued (Capital)
140102000,Boliney,140102000Boliney,140102000Boliney
140103000,Bucay,140103000Bucay,140103000Bucay
140104000,Bucloc,140104000Bucloc,140104000Bucloc
140105000,Daguioman,140105000Daguioman,140105000Daguioman
140106000,Danglas,140106000Danglas,140106000Danglas
140107000,Dolores,140107000Dolores,140107000Dolores
140108000,La Paz,140108000La Paz,140108000La Paz
140109000,Lacub,140109000Lacub,140109000Lacub
140110000,Lagangilang,140110000Lagangilang,140110000Lagangilang
140111000,Lagayan,140111000Lagayan,140111000Lagayan
140112000,Langiden,140112000Langiden,140112000Langiden
140113000,Licuan-Baay,140113000Licuan-Baay,140113000Licuan-Baay
140114000,Luba,140114000Luba,140114000Luba
140115000,Malibcong,140115000Malibcong,140115000Malibcong
140116000,Manabo,140116000Manabo,140116000Manabo
140117000,Peñarrubia,140117000Peñarrubia,140117000Peñarrubia
140118000,Pidigan,140118000Pidigan,140118000Pidigan
140119000,Pilar,140119000Pilar,140119000Pilar
140120000,Sallapadan,140120000Sallapadan,140120000Sallapadan
140121000,San Isidro,140121000San Isidro,140121000San Isidro
140122000,San Juan,140122000San Juan,140122000San Juan
140123000,San Quintin,140123000San Quintin,140123000San Quintin
140124000,Tayum,140124000Tayum,140124000Tayum
140125000,Tineg,140125000Tineg,140125000Tineg
140126000,Tubo,140126000Tubo,140126000Tubo
140127000,Villaviciosa,140127000Villaviciosa,140127000Villaviciosa
141101000,Atok,141101000Atok,141101000Atok
141102000,City of Baguio,141102000City of Baguio,141102000City of Baguio
141103000,Bakun,141103000Bakun,141103000Bakun
141104000,Bokod,141104000Bokod,141104000Bokod
141105000,Buguias,141105000Buguias,141105000Buguias
141106000,Itogon,141106000Itogon,141106000Itogon
141107000,Kabayan,141107000Kabayan,141107000Kabayan
141108000,Kapangan,141108000Kapangan,141108000Kapangan
141109000,Kibungan,141109000Kibungan,141109000Kibungan
141110000,La Trinidad (Capital),141110000La Trinidad (Capital),141110000La Trinidad (Capital)
141111000,Mankayan,141111000Mankayan,141111000Mankayan
141112000,Sablan,141112000Sablan,141112000Sablan
141113000,Tuba,141113000Tuba,141113000Tuba
141114000,Tublay,141114000Tublay,141114000Tublay
142701000,Banaue,142701000Banaue,142701000Banaue
142702000,Hungduan,142702000Hungduan,142702000Hungduan
142703000,Kiangan,142703000Kiangan,142703000Kiangan
142704000,Lagawe (Capital),142704000Lagawe (Capital),142704000Lagawe (Capital)
142705000,Lamut,142705000Lamut,142705000Lamut
142706000,Mayoyao,142706000Mayoyao,142706000Mayoyao
142707000,Alfonso Lista,142707000Alfonso Lista,142707000Alfonso Lista
142708000,Aguinaldo,142708000Aguinaldo,142708000Aguinaldo
142709000,Hingyon,142709000Hingyon,142709000Hingyon
142710000,Tinoc,142710000Tinoc,142710000Tinoc
142711000,Asipulo,142711000Asipulo,142711000Asipulo
143201000,Balbalan,143201000Balbalan,143201000Balbalan
143206000,Lubuagan,143206000Lubuagan,143206000Lubuagan
143208000,Pasil,143208000Pasil,143208000Pasil
143209000,Pinukpuk,143209000Pinukpuk,143209000Pinukpuk
143211000,Rizal,143211000Rizal,143211000Rizal
143213000,City of Tabuk (Capital),143213000City of Tabuk (Capital),143213000City of Tabuk (Capital)
143214000,Tanudan,143214000Tanudan,143214000Tanudan
143215000,Tinglayan,143215000Tinglayan,143215000Tinglayan
144401000,Barlig,144401000Barlig,144401000Barlig
144402000,Bauko,144402000Bauko,144402000Bauko
144403000,Besao,144403000Besao,144403000Besao
144404000,Bontoc (Capital),144404000Bontoc (Capital),144404000Bontoc (Capital)
144405000,Natonin,144405000Natonin,144405000Natonin
144406000,Paracelis,144406000Paracelis,144406000Paracelis
144407000,Sabangan,144407000Sabangan,144407000Sabangan
144408000,Sadanga,144408000Sadanga,144408000Sadanga
144409000,Sagada,144409000Sagada,144409000Sagada
144410000,Tadian,144410000Tadian,144410000Tadian
148101000,Calanasan,148101000Calanasan,148101000Calanasan
148102000,Conner,148102000Conner,148102000Conner
148103000,Flora,148103000Flora,148103000Flora
148104000,Kabugao (Capital),148104000Kabugao (Capital),148104000Kabugao (Capital)
148105000,Luna,148105000Luna,148105000Luna
148106000,Pudtol,148106000Pudtol,148106000Pudtol
148107000,Santa Marcela,148107000Santa Marcela,148107000Santa Marcela
